Payment measure name,Payment,Value of care category
Payment for hip/knee replacement patients,"$19,937 ",Average complications and lower payment
Payment for hip/knee replacement patients,"$29,754 ",Average complications and higher payment
Payment for hip/knee replacement patients,"$20,317 ",Average complications and lower payment
Payment for heart attack patients,"$25,517 ",Better mortality and higher payment
Payment for heart attack patients,"$24,662 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$14,659 ",Better mortality and lower payment
Payment for heart attack patients,"$23,373 ",Average mortality and average payment
Payment for heart failure patients,"$11,963 ",Average mortality and lower payment
Payment for heart attack patients,"$21,751 ",Average mortality and average payment
Payment for heart attack patients,"$22,665 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$29,698 ",Average complications and higher payment
Payment for heart failure patients,"$15,357 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$20,841 ",Average complications and lower payment
Payment for heart attack patients,"$21,440 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,"$24,791 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$22,213 ",Average complications and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$17,475 ",Better mortality and higher payment
Payment for hip/knee replacement patients,"$20,135 ",Average complications and lower payment
Payment for heart failure patients,"$14,555 ",Average mortality and lower payment
Payment for heart attack patients,"$22,360 ",Average mortality and average payment
Payment for pneumonia patients,"$16,444 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$20,614 ",Average complications and lower payment
Payment for pneumonia patients,"$16,770 ",Worse mortality and average payment
Payment for pneumonia patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$23,016 ",Average complications and average payment
Payment for heart failure patients,"$15,849 ",Average mortality and average payment
Payment for heart attack patients,"$23,326 ",Average mortality and average payment
Payment for pneumonia patients,"$17,937 ",Average mortality and average payment
Payment for heart attack patients,"$23,548 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$24,825 ",Average complications and higher payment
Payment for heart failure patients,"$18,224 ",Average mortality and higher payment
Payment for pneumonia patients,"$19,336 ",Better mortality and higher payment
Payment for hip/knee replacement patients,"$25,018 ",Average complications and higher payment
Payment for heart failure patients,"$18,094 ",Average mortality and higher payment
Payment for heart attack patients,"$22,134 ",Average mortality and average payment
Payment for pneumonia patients,"$16,384 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$23,902 ",Average complications and higher payment
Payment for heart failure patients,"$15,444 ",Average mortality and average payment
Payment for heart failure patients,"$16,824 ",Better mortality and average payment
Payment for hip/knee replacement patients,"$22,324 ",Average complications and average payment
Payment for heart attack patients,"$26,735 ",Average mortality and higher payment
Payment for heart attack patients,"$25,392 ",Average mortality and average payment
Payment for heart attack patients,"$28,828 ",Average mortality and higher payment
Payment for heart attack patients,"$26,363 ",Average mortality and higher payment
Payment for heart attack patients,"$22,635 ",Average mortality and average payment
Payment for pneumonia patients,"$16,658 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$20,444 ",Average complications and lower payment
Payment for pneumonia patients,"$18,056 ",Average mortality and higher payment
Payment for hip/knee replacement patients,"$20,454 ",Average complications and lower payment
Payment for heart attack patients,"$21,383 ",Average mortality and average payment
Payment for heart attack patients,"$22,259 ",Average mortality and average payment
Payment for heart failure patients,"$15,200 ",Average mortality and average payment
Payment for heart attack patients,"$22,623 ",Average mortality and average payment
Payment for heart attack patients,"$25,512 ",Average mortality and higher payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$17,587 ",Average mortality and average payment
Payment for heart failure patients,"$16,126 ",Average mortality and average payment
Payment for heart failure patients,"$15,582 ",Better mortality and average payment
